  Oxs_RungeKuttaEvolve:evolve:Total energy (J), Oxs_RungeKuttaEvolve:evolve:Energy calc count, Oxs_RungeKuttaEvolve:evolve:Max dm/dt (deg/ns), Oxs_RungeKuttaEvolve:evolve:dE/dt (J/s), Oxs_RungeKuttaEvolve:evolve:Delta E (J), Oxs_CubicAnisotropy::Energy (J), Oxs_UniformExchange::Energy (J), Oxs_UniformExchange::Max Spin Ang (deg), Oxs_UniformExchange::Stage Max Spin Ang (deg), Oxs_UniformExchange::Run Max Spin Ang (deg), Oxs_ScriptUZeeman::Energy (J), Oxs_ScriptUZeeman::B (mT), Oxs_ScriptUZeeman::Bx (mT), Oxs_ScriptUZeeman::By (mT), Oxs_ScriptUZeeman::Bz (mT), Oxs_FixedZeeman::Energy (J), Oxs_Demag::Energy (J), Oxs_TimeDriver::Iteration, Oxs_TimeDriver::Stage iteration, Oxs_TimeDriver::Stage, Oxs_TimeDriver::mx, Oxs_TimeDriver::my, Oxs_TimeDriver::mz, Oxs_TimeDriver::mx_corner, Oxs_TimeDriver::my_corner, Oxs_TimeDriver::mz_corner, Oxs_TimeDriver::Last time step (s), Oxs_TimeDriver::Simulation time (s)
  -1.9828419899727956e-17, 1,              4682.9890861130352, -4.7222669333839662e-08, 0,              -9.8729151765994156e-22, 0,              0,              0,              0,              -1.2796801199499635e-18, 200,            0,              200,            0,              -3.1992002998750553e-17, 1.3444250510490219e-17, 0,              0,              0,              0.99975009371095891, 0.019995001874219157, 0.0099975009371095786, 0.99975009371095369, 0.019995001874219126, 0.009997500937109563, 0,              0              
  -1.9828515549612282e-17, 7,              4683.0804625246328, -4.7077828882525015e-08, -9.5649884271799951e-23, -9.8443190709331661e-22, 3.7804307971360896e-26, 0.0037341183610335288, 0.0037341183610335288, 0.0037341183610335288, -1.2795986309911343e-18, 199.99997717996308, 0,              199.99997717996308, 0,              -3.1992026168678913e-17, 1.344409364416055e-17, 1,              1,              0,              0.99975081777121511, 0.019993730890524808, 0.0099273696855325371, 0.99975110352042851, 0.019995480200837062, 0.0098949634583663602, 2.0286188640010627e-15, 2.0286188640010627e-15
  -1.9828895210970269e-17, 13,             4683.4369751297081, -4.6498492705576568e-08, -3.7966135799019849e-22, -9.7321932941863536e-22, 9.4506351984580698e-25, 0.018668270619770506, 0.018668270619770506, 0.018668270619770506, -1.2792817831184356e-18, 199.99942949985834, 0,              199.99942949985834, 0,              -3.19921170172901e-17, 1.3443475863704165e-17, 2,              2,              0,              0.99975365679031569, 0.019988834879391237, 0.0096468474316346534, 0.99975502001375482, 0.019997530784571942, 0.0094848161022544272, 8.1144754560042508e-15, 1.0143094320005313e-14
  -1.983036684804513e-17, 19,             4684.7187262074049, -4.4181214105939131e-08, -1.4716370748582319e-21, -9.3198307976806506e-22, 1.6667626509948002e-23, 0.07836605628950026, 0.07836605628950026, 0.07836605628950026, -1.2781601413511349e-18, 199.98993661633568, 0,              199.98993661633568, 0,              -3.1992451114336385e-17, 1.3441159723095649e-17, 3,              3,              0,              0.99976409732301208, 0.019972257151043289, 0.0085248224966108267, 0.99976872206415901, 0.020007929133290008, 0.0078442881850234424, 3.2457901824017003e-14, 4.2600996144022317e-14
  -1.9835500475655173e-17, 25,             4687.5122775584368, -3.4891193245624523e-08, -5.1336276100472517e-21, -8.2485048391274949e-22, 2.7280734910419092e-22, 0.31642851586093668, 0.31642851586093668, 0.31642851586093668, -1.2760043029467414e-18, 199.83519316446854, 0,              199.83519316446854, 0,              -3.199331895380599e-17, 1.3434374824232367e-17, 4,              4,              0,              0.99979121730643694, 0.019954010019780512, 0.0040390301779038304, 0.99979211749464691, 0.020084627895487917, 0.0012844763412662211, 1.2983160729606801e-13, 1.7243260344009032e-13
  -1.98436998431935e-17, 31,             4671.1651107059852, 3.970705629366548e-09, -8.1993675383196306e-21, -1.3136183550939202e-21, 4.362113589084913e-21, 1.2536558481073685, 1.2536558481073685, 1.2536558481073685, -1.3039095663005297e-18, 197.36398868780083, 0,              197.36398868780083, 0,              -3.198935634650013e-17, 1.344651757437317e-17, 5,              5,              0,              0.99966738582812897, 0.020645698446714784, -0.013785631939654406, 0.99938643472769828, 0.02095016575743289, -0.024834239679403021, 5.1932642918427205e-13, 6.9175903262436232e-13
  -1.9626430641685585e-17, 37,             4432.3969143827717, 2.3530904735619302e-07, 2.1726920150791221e-19, -1.5414105487773594e-20, 6.3511724457133793e-20, 4.5814196146807902, 4.5814196146807902, 4.5814196146807902, -1.7923062125925099e-18, 162.88037744546068, 0,              162.88037744546068, 0,              -3.1873892845749836e-17, 1.3991670797687401e-17, 6,              6,              0,              0.99605915142968182, 0.034386934768904386, -0.077095893228521992, 0.990913964427937, 0.032514763763493597, -0.12041462830233017, 2.0293950896562824e-12, 2.7211541222806449e-12
  -1.8717050614833364e-17, 43,             3716.3935218323054, 5.620788453997318e-07, 9.0938002685222749e-19, -4.2987678861751503e-20, 1.8890669335354246e-19, 8.9950361235183376, 8.9950361235183376, 8.9950361235183376, -2.1256326445152676e-18, 101.12052057229653, 0,              101.12052057229653, 0,              -3.1641475057537284e-17, 1.4904138072727396e-17, 7,              7,              0,              0.98879609554804015, 0.065689950729249214, -0.12487284310910213, 0.9734277175472803, 0.05813525949632728, -0.20338355846359377, 2.2384935575050264e-12, 4.9596476797856713e-12
  -1.7326605717468319e-17, 49,             3087.1102130416539, 6.2827773415688257e-07, 1.3904448973650379e-18, -7.0798890927832746e-20, 3.4498414770322334e-19, 12.505216835030129, 12.505216835030129, 12.505216835030129, -1.6219245020982296e-18, 47.847578183930118, 0,              47.847578183930118, 0,              -3.1397426002604349e-17, 1.5418559530458868e-17, 8,              8,              0,              0.98116956258138632, 0.10593042033544867, -0.14613495095925136, 0.95384870831949253, 0.092967506152910814, -0.25927867287125006, 2.2227651993696612e-12, 7.1824128791553329e-12
  -1.6140972983209056e-17, 55,             2788.6079685153577, 4.0935101864132569e-07, 1.1856327342592602e-18, -9.6156768053315942e-20, 5.0321213157675446e-19, 14.449686523707822, 14.449686523707822, 14.449686523707822, -8.1637986421471532e-19, 17.169234655632664, 0,              17.169234655632664, 0,              -3.11643785507051e-17, 1.5432730068187322e-17, 9,              9,              0,              0.97388682970953355, 0.14859061145361097, -0.14800947948908982, 0.93465643420257594, 0.13375059007920351, -0.29549492169879038, 2.2278240525160682e-12, 9.4102369316714006e-12
