  Oxs_RungeKuttaEvolve:evolve:Total energy (J), Oxs_RungeKuttaEvolve:evolve:Energy calc count, Oxs_RungeKuttaEvolve:evolve:Max dm/dt (deg/ns), Oxs_RungeKuttaEvolve:evolve:dE/dt (J/s), Oxs_RungeKuttaEvolve:evolve:Delta E (J), Oxs_CubicAnisotropy::Energy (J), Oxs_UniformExchange::Energy (J), Oxs_UniformExchange::Max Spin Ang (deg), Oxs_UniformExchange::Stage Max Spin Ang (deg), Oxs_UniformExchange::Run Max Spin Ang (deg), Oxs_ScriptUZeeman::Energy (J), Oxs_ScriptUZeeman::B (mT), Oxs_ScriptUZeeman::Bx (mT), Oxs_ScriptUZeeman::By (mT), Oxs_ScriptUZeeman::Bz (mT), Oxs_FixedZeeman::Energy (J), Oxs_Demag::Energy (J), Oxs_TimeDriver::Iteration, Oxs_TimeDriver::Stage iteration, Oxs_TimeDriver::Stage, Oxs_TimeDriver::mx, Oxs_TimeDriver::my, Oxs_TimeDriver::mz, Oxs_TimeDriver::mx_corner, Oxs_TimeDriver::my_corner, Oxs_TimeDriver::mz_corner, Oxs_TimeDriver::Last time step (s), Oxs_TimeDriver::Simulation time (s)
  -1.9828466656703291e-17, 1,              4683.1122241957091, -4.7227736781832798e-08, 0,              -1.0340484929953852e-21, 0,              0,              0,              0,              -1.2796801199499635e-18, 200,            0,              200,            0,              -3.1992002998750553e-17, 1.3444250510490219e-17, 0,              0,              0,              0.99975009371095891, 0.019995001874219157, 0.0099975009371095786, 0.99975009371095369, 0.019995001874219126, 0.009997500937109563, 0,              0              
  -1.9828562314356987e-17, 7,              4683.2036217589139, -4.7082901002344928e-08, -9.5657653641376125e-23, -1.0310535422936734e-21, 3.7802320107631592e-26, 0.0037340201811719613, 0.0037340201811719613, 0.0037340201811719613, -1.2795987714531503e-18, 199.99997718116316, 0,              199.99997718116316, 0,              -3.1992026168000136e-17, 1.3444093640836273e-17, 1,              1,              0,              0.99975081775000407, 0.019993733085124137, 0.0099273674028863175, 0.99975110349172691, 0.019995482345905331, 0.0098949620275284624, 2.0285655233537685e-15, 2.0285655233537685e-15
  -1.9828942006963419e-17, 13,             4683.5602203529943, -4.650358316366863e-08, -3.7969260643296388e-22, -1.019310300916774e-21, 9.4501384293802571e-25, 0.018667779895158325, 0.018667779895158325, 0.018667779895158325, -1.2792824762954937e-18, 199.99942952985947, 0,              199.99942952985947, 0,              -3.1992117013895076e-17, 1.3443475848514223e-17, 2,              2,              0,              0.99975365668422111, 0.019988845707315166, 0.0096468360193973056, 0.99975501987239979, 0.019997541295479683, 0.0094848089434105727, 8.1142620934150742e-15, 1.0142827616768842e-14
  -1.9830413771691487e-17, 19,             4684.8423374946942, -4.418637268673518e-08, -1.4717647280631712e-21, -9.7612255711539702e-22, 1.6666751754697028e-23, 0.078363998726537154, 0.078363998726537154, 0.078363998726537154, -1.2781628991595009e-18, 199.98993714553006, 0,              199.98993714553006, 0,              -3.1992451100054459e-17, 1.3441159683327835e-17, 3,              3,              0,              0.99976409687670165, 0.019972300191118435, 0.0085247745751251287, 0.99976872150646978, 0.020007969676519747, 0.007844258033757795, 3.2457048373660297e-14, 4.2599875990429135e-14
  -1.9835547948607576e-17, 25,             4687.637705449476, -3.4896563333802186e-08, -5.134176916092968e-21, -8.6392199053834227e-22, 2.7279315995991902e-22, 0.31642027911621312, 0.31642027911621312, 0.31642027911621312, -1.2760129758971689e-18, 199.83520182766802, 0,              199.83520182766802, 0,              -3.1993318895387284e-17, 1.3434375051507455e-17, 4,              4,              0,              0.99979121548085248, 0.01995414478134528, 0.0040388359315401646, 0.99979211580625682, 0.020084733677956604, 0.0012843525550534011, 1.2982819349464119e-13, 1.7242806948507033e-13
  -1.9843750140636355e-17, 31,             4671.2629331813814, 3.9640301838145384e-09, -8.2021920287823484e-21, -1.3758635601388619e-21, 4.3619046979701332e-21, 1.2536270881860228, 1.2536270881860228, 1.2536270881860228, -1.3039048527583366e-18, 197.36412639140349, 0,              197.36412639140349, 0,              -3.1989356085259621e-17, 1.3446524756243771e-17, 5,              5,              0,              0.99966737766436331, 0.020645609409224868, -0.013786443664072274, 0.99938643586621645, 0.020949657933492984, -0.024834788692673113, 5.1931277397856475e-13, 6.9174084346363508e-13
  -1.9626496366841104e-17, 37,             4432.4654349097, 2.3526337808855994e-07, 2.1725377379525782e-19, -1.614700289200188e-20, 6.35218413681102e-20, 4.5818013544829119, 4.5818013544829119, 4.5818013544829119, -1.7919099138453226e-18, 162.87646506518172, 0,              162.87646506518172, 0,              -3.1873869895482124e-17, 1.3991908604010235e-17, 6,              6,              0,              0.99605843423381568, 0.034380157246939679, -0.07710744316305318, 0.99091247638100166, 0.032501376040900636, -0.12042889329456995, 2.0295724616461404e-12, 2.7213133051097755e-12
  -1.871727507591247e-17, 43,             3716.2505926438898, 5.61881881517126e-07, 9.0922129092862536e-19, -4.5032086641439291e-20, 1.8895974834933198e-19, 8.9964038198758232, 8.9964038198758232, 8.9964038198758232, -2.1247291195050116e-18, 101.10928182591604, 0,              101.10928182591604, 0,              -3.1641404240802534e-17, 1.4904930622687182e-17, 7,              7,              0,              0.98879388252507849, 0.065669327074097339, -0.12489869048147534, 0.97342249814307369, 0.05809383269067156, -0.20341573954446512, 2.2387385024896631e-12, 4.9600518075994382e-12
  -1.732732412016254e-17, 49,             3086.7524696021819, 6.2796659868313707e-07, 1.3899509557499387e-18, -7.4164257766691531e-20, 3.451163892729996e-19, 12.507796801208269, 12.507796801208269, 12.507796801208269, -1.620999283863509e-18, 47.836842365757803, 0,              47.836842365757803, 0,              -3.1397318358465756e-17, 1.5420041390660418e-17, 8,              8,              0,              0.98116619870205446, 0.10589375283891019, -0.14617856990247524, 0.95383997449806079, 0.09289094185890398, -0.25933041745445495, 2.2229244770343479e-12, 7.1829762846337861e-12
  -1.614228501413477e-17, 55,             2788.1939018617695, 4.0910043465970125e-07, 1.1850391060277772e-18, -1.0072852785617448e-19, 5.0346446371604805e-19, 14.453719726646423, 14.453719726646423, 14.453719726646423, -8.1582836550229539e-19, 17.163182702807148, 0,              17.163182702807148, 0,              -3.1164219403244452e-17, 1.5435026818752103e-17, 9,              9,              0,              0.97388185635138913, 0.14854259179899598, -0.14807968393287632, 0.93464387453229514, 0.13363912152802584, -0.29557448119198554, 2.2279362469039479e-12, 9.410912531537734e-12
